gene	description	WT_6h_1	WT_6h_2	WT_6h_3	RELA_6h_1	RELA_6h_2	RELA_6h_3
0610005C13Rik	na	9	12	12	11	16	10
0610007C21Rik	na	534	581	562	512	537	501
0610007L01Rik	na	2124	2197	2168	2811	2706	2265
0610007N19Rik	na	17	26	21	18	20	15
0610007P08Rik	na	1410	1504	1543	1546	1577	1353
0610007P14Rik	na	2049	2008	2074	2192	2192	1968
0610007P22Rik	na	438	451	434	542	508	410
0610008F07Rik	na	0	0	0	0	0	0
0610009B14Rik	na	1	2	1	1	1	3
0610009B22Rik	na	124	186	182	164	187	182
0610009D07Rik	na	2121	2073	2311	2206	2226	2138
0610009L18Rik	na	24	23	24	35	31	15
0610009O20Rik	na	1243	1284	1147	1439	1397	1193
0610010B08Rik	na	0	1	0	0	0	0
0610010F05Rik	na	556	523	563	689	681	586
0610010K14Rik	na	1416	1342	1309	1381	1480	1348
0610010O12Rik	na	30	23	20	17	36	25
0610011F06Rik	na	356	388	326	351	339	317
0610011L14Rik	na	940	1016	1005	1072	1087	1014
0610012G03Rik	na	358	403	392	412	415	398
0610012H03Rik	na	1	0	2	0	0	0
0610030E20Rik	na	2475	2646	2550	2908	3073	2596
0610031J06Rik	na	1609	1672	1484	1617	1640	1429
0610031O16Rik	na	0	0	0	0	0	0
0610037L13Rik	na	1375	1420	1288	1488	1479	1268
0610037P05Rik	na	506	589	546	584	558	573
0610038B21Rik	na	0	1	2	4	0	1
0610038L08Rik	na	6	6	7	8	5	12
0610039K10Rik	na	33	32	41	36	31	29
0610040B10Rik	na	29	37	33	29	27	25
0610040F04Rik	na	1	2	6	3	0	4
0610040J01Rik	na	1	0	0	1	0	0
0610043K17Rik	na	8	2	3	6	7	2
0910001L09Rik	na	559	538	567	557	582	571
100043387	na	0	0	0	0	0	0
1100001G20Rik	na	8	4	3	9	8	11
1110001A16Rik	na	84	107	106	99	84	92
1110001J03Rik	na	270	272	278	329	329	259
1110002B05Rik	na	726	741	844	776	802	776
1110002L01Rik	na	168	177	183	178	193	167
1110002N22Rik	na	227	217	248	273	254	230
1110003E01Rik	na	1346	1400	1362	1523	1667	1406
1110004E09Rik	na	466	506	475	537	530	501
1110004F10Rik	na	1866	1740	1817	1964	2046	1756
1110005A03Rik	na	868	844	864	919	935	876
1110006O24Rik	na	14	27	15	15	15	18
1110007C09Rik	na	179	161	160	222	195	173
1110008F13Rik	na	381	375	423	472	431	401
1110008J03Rik	na	216	213	237	254	282	212
1110008L16Rik	na	509	535	492	522	540	420
1110008P14Rik	na	557	512	484	627	582	546
1110012J17Rik	na	1	0	1	0	0	0
1110012L19Rik	na	232	213	221	201	212	234
1110014N23Rik	na	1627	1587	1464	1640	1673	1511
1110015O18Rik	na	0	0	0	0	0	1
1110017D15Rik	na	0	0	0	1	0	1
1110017F19Rik	na	35	37	30	37	41	32
1110018G07Rik	na	4318	4542	4232	4687	4968	4140
1110018J18Rik	na	181	169	177	194	200	199
1110019D14Rik	na	25	23	25	33	21	22
1110020A21Rik	na	8	3	5	9	6	13
1110020G09Rik	na	522	532	501	528	582	468
1110021J02Rik	na	1006	1029	993	1087	1132	872
1110021L09Rik	na	3	0	1	1	0	2
1110028C15Rik	na	617	634	596	677	684	611
1110028F11Rik	na	1	0	0	0	0	1
1110028F18Rik	na	0	0	0	0	0	0
1110031I02Rik	na	185	204	205	249	237	193
1110032A03Rik	na	105	120	96	115	97	106
1110032A04Rik	na	0	0	0	0	0	0
1110032F04Rik	na	8	17	8	20	17	16
1110034A24Rik	na	315	306	319	357	382	324
1110034B05Rik	na	265	293	284	299	312	264
1110034G24Rik	na	143	153	151	184	189	130
1110035M17Rik	na	0	0	0	1	0	0
1110036E04Rik	na	8	10	9	4	2	4
1110037F02Rik	na	3246	3275	3312	3670	3579	3001
1110038B12Rik	na	1591	1625	1573	1827	1883	1623
1110038D17Rik	na	1304	1341	1280	1535	1588	1325
1110038F14Rik	na	821	858	794	970	887	824
1110046J04Rik	na	1	0	2	0	2	2
1110049F12Rik	na	1362	1371	1246	1434	1457	1262
1110050K14Rik	na	1	0	0	1	0	0
1110051M20Rik	na	163	145	162	115	108	125
1110054M08Rik	na	32	43	38	39	44	32
1110054O05Rik	na	1628	1686	1626	1823	1794	1576
1110057K04Rik	na	1612	1663	1662	1708	1752	1614
1110058L19Rik	na	148	145	185	174	152	170
1110059E24Rik	na	464	487	538	793	735	720
1110059G10Rik	na	403	451	494	450	454	450
1110059M19Rik	na	0	0	0	0	0	0
1110065P20Rik	na	78	65	74	69	112	68
1110067D22Rik	na	68	78	58	83	81	78
1190002F15Rik	na	19	15	15	14	19	18
1190002H23Rik	na	29	36	27	36	28	38
1190002N15Rik	na	176	188	174	231	216	179
1190003J15Rik	na	0	0	0	0	0	0
1190003K10Rik	na	0	0	0	0	0	0
1190005F20Rik	na	1584	1530	1382	1544	1539	1411
1190005I06Rik	na	8	9	8	5	7	2
1190007F08Rik	na	0	0	0	0	0	1
1190007I07Rik	na	406	353	316	350	337	332
1200009I06Rik	na	5	7	10	9	11	6
1200011I18Rik	na	2039	2150	2069	2336	2250	1986
1200011M11Rik	na	1103	1043	1083	1173	1166	1069
1200014J11Rik	na	1443	1466	1345	1633	1521	1334
1200016B10Rik	na	895	1023	935	1078	1059	946
1300001I01Rik	na	10180	10283	9457	12170	12331	10252
1300002E11Rik	na	671	719	662	774	865	649
1300002K09Rik	na	10	9	8	8	7	10
1300010F03Rik	na	1143	1196	1136	1214	1188	1093
1300014I06Rik	na	1075	1058	1037	1280	1288	1127
1300015D01Rik	na	0	0	0	0	0	0
1300017J02Rik	na	0	2	1	0	2	0
1300018I17Rik	na	790	837	702	794	874	803
1300018J18Rik	na	345	332	326	343	358	327
1500001M20Rik	na	459	495	511	519	514	482
1500002O10Rik	na	0	0	1	0	0	1
1500002O20Rik	na	980	970	763	999	969	894
1500003O03Rik	na	1715	1752	1632	1794	1861	1586
1500004A13Rik	na	178	164	195	229	223	178
1500009C09Rik	na	3	2	3	5	8	9
1500009L16Rik	na	0	2	1	1	0	0
1500010J02Rik	na	1324	1475	1282	1340	1396	1164
1500011B03Rik	na	307	285	239	320	287	265
1500011H22Rik	na	199	228	213	221	222	210
1500011K16Rik	na	258	230	286	245	243	259
1500012F01Rik	na	1710	1688	1790	2212	2191	2074
1500012K07Rik	na	1	1	1	0	0	0
1500015A07Rik	na	216	205	184	237	238	195
1500015L24Rik	na	0	0	0	0	0	0
1500015O10Rik	na	8	7	9	8	15	8
1500016L03Rik	na	0	0	0	0	0	0
1500017E21Rik	na	0	0	0	0	0	0
1500031L02Rik	na	61	76	63	61	55	54
1500032L24Rik	na	1105	1110	1082	1115	1073	998
1520402A15Rik	na	26	32	20	29	35	33
1600002D24Rik	na	0	0	0	2	1	1
1600002H07Rik	na	294	286	266	335	384	264
1600002K03Rik	na	433	392	387	393	383	362
1600010M07Rik	na	4	2	2	3	5	2
1600012F09Rik	na	433	391	448	458	504	451
1600012H06Rik	na	805	915	850	1053	1020	877
1600014C10Rik	na	695	793	754	595	586	509
1600014C23Rik	na	0	0	0	0	0	0
1600014K23Rik	na	0	0	0	0	0	0
1600015I10Rik	na	0	0	0	0	0	0
1600016N20Rik	na	153	166	119	165	128	166
1600019K03Rik	na	0	0	0	0	0	0
1600020E01Rik	na	311	287	285	344	334	308
1600021P15Rik	na	0	1	1	0	0	0
1600025M17Rik	na	0	0	0	0	0	0
1600027N09Rik	na	1176	1180	1048	1159	1197	1028
1600029D21Rik	na	0	2	2	1	0	0
1600029I14Rik	na	0	0	1	1	1	1
1600029O15Rik	na	1	2	1	0	0	0
1700001C02Rik	na	0	0	0	0	0	0
1700001C19Rik	na	0	0	0	0	0	0
1700001D01Rik	na	1	6	2	2	1	1
1700001F09Rik	na	0	0	0	0	0	0
1700001G11Rik	na	5	9	6	5	1	6
1700001G17Rik	na	5	3	3	10	4	9
1700001J03Rik	na	9	5	13	13	5	7
1700001J11Rik	na	0	0	0	0	0	0
1700001K19Rik	na	11	7	13	11	11	12
1700001K23Rik	na	1	2	1	1	2	2
1700001L05Rik	na	260	269	236	449	402	374
1700001L19Rik	na	0	0	0	0	0	0
1700001O22Rik	na	0	0	1	1	1	0
1700001P01Rik	na	5	8	4	3	6	8
1700003C15Rik	na	0	0	0	0	0	0
1700003D09Rik	na	0	0	0	0	1	0
1700003E16Rik	na	0	1	0	1	0	0
1700003F12Rik	na	1	1	1	1	2	3
1700003F17Rik	na	0	1	0	0	0	0
1700003G13Rik	na	0	0	0	0	0	0
1700003G18Rik	na	1	0	0	1	0	0
1700003H04Rik	na	0	0	0	0	0	0
1700003L19Rik	na	0	0	0	0	0	0
1700003M02Rik	na	2	0	0	0	1	0
1700003M07Rik	na	0	0	1	0	0	0
1700003P14Rik	na	0	0	0	0	0	0
1700006A11Rik	na	0	0	0	0	0	0
1700006E09Rik	na	0	0	0	0	0	0
1700006F04Rik	na	0	0	0	0	0	0
1700006H21Rik	na	0	0	0	0	0	0
1700007B14Rik	na	0	0	0	0	0	0
1700007F19Rik	na	0	0	0	0	0	0
1700007G11Rik	na	0	0	0	0	0	0
1700007I08Rik	na	2	2	1	2	3	4
1700007J10Rik	na	13	14	12	17	14	21
1700007K09Rik	na	1	1	1	4	0	4
1700007K13Rik	na	1	0	3	0	0	0
1700007L15Rik	na	91	100	80	92	97	70
1700007P06Rik	na	0	0	0	0	0	0
1700008A04Rik	na	0	0	0	0	0	0
1700008F21Rik	na	0	0	0	0	1	0
1700008I05Rik	na	0	0	0	0	0	0
1700008J07Rik	na	311	310	306	317	331	310
1700008K24Rik	na	0	0	0	0	0	0
1700008O03Rik	na	6	7	3	2	3	6
1700008P02Rik	na	0	0	0	0	0	0
1700008P20Rik	na	0	0	1	0	0	0
1700009C05Rik	na	0	1	0	0	0	0
1700009J07Rik	na	0	0	0	0	0	0
1700009N14Rik	na	0	0	0	0	0	0
1700009P17Rik	na	5	9	10	8	3	2
1700010B08Rik	na	0	1	0	0	0	0
1700010D01Rik	na	0	0	0	0	0	0
1700010I02Rik	na	0	0	0	0	0	0
1700010I14Rik	na	31	27	26	23	29	22
1700010J16Rik	na	0	0	0	0	0	0
1700010K23Rik	na	0	0	0	0	0	0
1700010M22Rik	na	0	0	0	0	0	0
1700011A15Rik	na	0	0	0	0	0	0
1700011B04Rik	na	0	0	0	0	0	0
1700011E24Rik	na	2	1	0	1	0	4
1700011F03Rik	na	0	0	0	0	0	0
1700011F14Rik	na	0	0	0	0	0	0
1700011H14Rik	na	7	6	3	15	9	10
1700011I03Rik	na	0	0	0	0	0	0
1700011J10Rik	na	73	65	74	77	73	71
1700011L22Rik	na	0	0	2	1	3	0
1700011M02Rik	na	0	0	0	0	0	0
1700012A03Rik	na	0	0	0	0	0	0
1700012A16Rik	na	136	177	145	163	166	127
1700012B07Rik	na	0	0	0	0	0	0
1700012B09Rik	na	0	0	0	0	0	0
1700012B15Rik	na	375	421	351	382	421	350
1700012D01Rik	na	37	38	26	55	59	60
1700012D14Rik	na	34	39	37	26	51	44
1700012I11Rik	na	0	0	0	0	0	0
1700012L04Rik	na	4	1	0	0	0	1
1700012P22Rik	na	0	0	0	0	0	0
1700013D24Rik	na	0	0	0	0	0	0
1700013F07Rik	na	0	0	0	0	0	0
1700013G23Rik	na	0	0	1	1	0	0
1700013G24Rik	na	0	0	0	0	0	0
1700013H16Rik	na	0	0	0	1	0	0
1700013N18Rik	na	0	1	0	0	0	2
1700014N06Rik	na	0	0	0	0	0	0
1700015E13Rik	na	0	0	0	0	0	0
1700015F17Rik	na	0	0	0	0	0	0
1700015G11Rik	na	0	0	0	0	0	0
1700016C15Rik	na	3	0	1	1	3	2
1700016D06Rik	na	1	9	7	9	3	9
1700016G22Rik	na	1	0	0	0	1	1
1700016H13Rik	na	0	2	0	0	0	0
1700016K19Rik	na	1	0	0	2	0	1
1700016L04Rik	na	1	0	2	0	0	3
1700016L21Rik	na	0	0	0	0	1	0
1700016M24Rik	na	0	0	0	0	0	0
1700016P04Rik	na	0	0	0	0	0	0
1700017B05Rik	na	1817	1758	1645	1846	1819	1607
1700017D01Rik	na	0	0	0	0	0	0
1700017G19Rik	na	0	0	0	0	0	0
1700017J07Rik	na	0	0	0	0	0	0
1700017N19Rik	na	0	0	0	0	0	0
1700018A04Rik	na	0	0	0	0	0	0
1700018A14Rik	na	0	1	0	0	0	1
1700018B08Rik	na	0	2	1	0	1	1
1700018B24Rik	na	0	0	0	0	0	0
1700018C11Rik	na	2	0	0	3	0	1
1700018F24Rik	na	0	0	0	0	0	0
1700018G05Rik	na	0	0	0	0	0	0
1700018L02Rik	na	0	1	0	3	0	1
1700018L24Rik	na	0	3	1	2	3	3
1700019A02Rik	na	0	1	0	3	1	3
1700019B03Rik	na	0	1	0	1	0	2
1700019B21Rik	na	0	0	0	0	0	0
1700019D03Rik	na	2	2	1	1	1	1
1700019E08Rik	na	0	0	0	0	0	0
1700019E19Rik	na	10	5	6	3	8	5
1700019G17Rik	na	196	209	181	238	202	209
1700019G24Rik	na	0	0	0	0	0	0
1700019L03Rik	na	46	51	42	42	52	48
1700019M22Rik	na	0	0	0	0	0	0
1700019N12Rik	na	3	3	3	3	2	3
1700019N19Rik	na	0	0	0	0	0	0
1700019O17Rik	na	0	0	0	0	0	0
1700020A23Rik	na	2	4	5	5	6	1
1700020C07Rik	na	1	1	1	1	1	2
1700020D05Rik	na	23	23	18	24	22	16
1700020G17Rik	na	0	0	0	0	0	0
1700020I14Rik	na	1200	1261	1319	1329	1410	1227
1700020L24Rik	na	1	0	0	2	3	1
1700020M21Rik	na	0	0	0	0	0	0
1700020N01Rik	na	0	0	0	0	0	0
1700020N15Rik	na	0	0	0	0	0	0
1700020N18Rik	na	9	6	7	3	4	9
1700020O03Rik	na	956	986	894	1059	1062	867
1700021C14Rik	na	146	163	150	186	176	152
1700021F05Rik	na	197	223	210	185	222	203
1700021F07Rik	na	0	0	0	0	0	0
1700021K19Rik	na	8398	8569	7927	9996	10415	8913
1700021N21Rik	na	0	0	0	0	0	0
1700022A21Rik	na	0	0	0	0	0	0
1700022A22Rik	na	0	0	0	0	0	0
1700022E09Rik	na	0	0	0	0	0	0
1700022H16Rik	na	0	0	0	0	0	0
1700022I11Rik	na	4	3	6	0	4	0
1700022P22Rik	na	2	0	2	0	2	6
1700023A16Rik	na	0	0	0	0	0	0
1700023C21Rik	na	0	0	0	0	0	1
1700023E05Rik	na	0	0	0	0	0	0
1700023F02Rik	na	0	0	0	0	0	0
1700023F06Rik	na	1	1	0	0	1	2
1700023L04Rik	na	0	0	2	1	1	1
1700024B18Rik	na	0	0	0	0	0	0
1700024F13Rik	na	4	8	8	3	1	2
1700024G13Rik	na	0	0	0	0	0	0
1700024P03Rik	na	0	0	0	0	0	0
1700024P04Rik	na	0	0	0	0	0	0
1700024P16Rik	na	0	2	0	0	0	2
1700025B11Rik	na	0	0	0	1	0	0
1700025C18Rik	na	0	0	1	0	0	1
1700025E21Rik	na	0	1	0	0	0	0
1700025F22Rik	na	0	0	0	0	0	0
1700025F24Rik	na	0	0	2	0	0	0
1700025G04Rik	na	19	15	20	14	29	20
1700025K23Rik	na	7	4	7	8	6	4
1700025K24Rik	na	0	0	0	0	0	0
1700025M24Rik	na	0	0	0	0	0	0
1700025N23Rik	na	0	0	0	1	0	0
1700026D08Rik	na	2	0	1	3	1	0
1700026D11Rik	na	0	0	1	0	0	0
1700026F02Rik	na	0	0	0	0	0	0
1700026J04Rik	na	1	6	0	1	2	1
1700026L06Rik	na	3	2	2	3	4	0
1700027A15Rik	na	0	0	0	0	0	0
1700027A23Rik	na	1	2	6	3	1	0
1700027D21Rik	na	16	8	11	13	21	11
1700027F09Rik	na	0	0	0	0	0	0
1700027H10Rik	na	0	0	0	0	0	0
1700027I24Rik	na	0	0	0	0	1	0
1700027J07Rik	na	13	16	9	18	23	11
1700028B04Rik	na	0	0	0	0	0	0
1700028D13Rik	na	0	0	0	0	0	0
1700028E10Rik	na	76	67	60	44	66	56
1700028I16Rik	na	3	3	5	1	4	3
1700028J19Rik	na	23	21	14	29	20	20
1700028K03Rik	na	61	68	56	68	62	70
1700028M03Rik	na	0	0	0	0	0	0
1700028P14Rik	na	0	0	0	0	0	0
1700028P15Rik	na	0	0	0	0	0	0
1700029B22Rik	na	0	0	0	0	0	0
1700029F09Rik	na	465	518	589	585	576	598
1700029F12Rik	na	0	0	0	0	0	0
1700029G01Rik	na	19	15	15	12	14	7
1700029H14Rik	na	1	0	0	1	2	1
1700029I01Rik	na	20	21	22	23	22	20
1700029I15Rik	na	16	12	13	9	14	12
1700029J03Rik	na	0	0	0	0	0	0
1700029J07Rik	na	322	318	237	282	284	253
1700029J11Rik	na	23	24	18	17	20	15
1700029M20Rik	na	0	0	1	0	0	0
1700029N11Rik	na	0	0	0	2	1	0
1700029P11Rik	na	0	0	0	0	0	0
1700030A11Rik	na	0	0	0	0	0	0
1700030C10Rik	na	36	23	20	17	17	18
1700030F04Rik	na	0	0	0	0	0	0
1700030F18Rik	na	0	0	0	0	0	0
1700030J22Rik	na	19	26	19	26	18	23
1700030K09Rik	na	542	583	476	574	574	509
1700030L20Rik	na	0	0	0	0	0	0
1700030M09Rik	na	0	0	0	2	1	2
1700030N03Rik	na	0	0	0	0	0	0
1700030O20Rik	na	0	0	0	0	0	0
1700031A10Rik	na	0	0	0	0	0	0
1700031F05Rik	na	0	0	0	0	0	0
1700031M16Rik	na	0	0	0	0	0	0
1700031P21Rik	na	0	0	0	0	0	0
1700034E13Rik	na	0	0	0	0	0	0
1700034F02Rik	na	10	15	12	6	8	12
1700034G24Rik	na	0	0	0	0	0	0
1700034H14Rik	na	907	882	907	967	977	921
1700034H15Rik	na	62	76	69	67	72	67
1700034I23Rik	na	0	0	1	1	1	1
1700034J05Rik	na	0	0	0	0	0	0
1700034K08Rik	na	0	0	0	0	0	0
1700034O15Rik	na	0	0	0	0	0	0
1700034P13Rik	na	0	0	1	3	2	1
1700036G14Rik	na	0	0	0	0	0	0
1700037C18Rik	na	125	143	117	119	132	107
1700037H04Rik	na	774	784	692	832	836	748
1700039E15Rik	na	0	0	0	0	0	0
1700039E22Rik	na	0	0	0	0	0	0
1700040I03Rik	na	216	215	216	278	271	253
1700040L02Rik	na	7	4	6	7	3	6
1700040N02Rik	na	0	0	0	0	0	0
1700041C23Rik	na	0	0	0	0	0	0
1700041M19Rik	na	0	0	0	0	0	0
1700042B14Rik	na	0	0	0	0	0	0
1700042G07Rik	na	0	0	0	0	0	0
1700042G15Rik	na	0	0	0	0	0	0
1700042O10Rik	na	0	0	1	0	2	0
1700044C05Rik	na	0	0	0	0	0	0
1700044K03Rik	na	0	0	0	0	0	0
1700045H11Rik	na	0	0	0	0	0	0
1700045I19Rik	na	0	0	0	0	0	0
1700046C09Rik	na	0	0	0	0	0	0
1700047G03Rik	na	0	0	0	1	0	0
1700047I17Rik2	na	0	0	0	0	0	0
1700047L14Rik	na	0	0	0	0	0	0
1700047M11Rik	na	0	2	1	0	0	0
1700048M11Rik	na	30	24	18	31	30	25
1700048O20Rik	na	41	68	47	53	30	26
1700049E15Rik	na	0	0	0	0	0	0
1700049E22Rik	na	0	0	0	0	0	0
1700049G17Rik	na	298	331	310	308	329	279
1700049L16Rik	na	0	0	0	0	0	0
1700051A21Rik	na	0	0	0	0	0	0
1700052I22Rik	na	0	0	0	0	0	0
1700052K11Rik	na	202	215	221	218	212	178
1700052N19Rik	na	806	799	772	824	834	730
1700054A03Rik	na	0	0	0	0	0	0
1700054K19Rik	na	0	0	0	0	0	0
1700054M17Rik	na	0	1	0	1	0	0
1700054N08Rik	na	123	91	101	146	146	118
1700054O13Rik	na	0	0	0	0	0	0
1700055C04Rik	na	0	0	0	0	0	0
1700055N04Rik	na	3	3	3	2	6	0
1700056E22Rik	na	4	3	4	5	4	1
1700057G04Rik	na	0	0	0	0	0	0
1700057H15Rik	na	0	0	0	0	0	0
1700057K13Rik	na	0	0	0	0	0	0
1700058G18Rik	na	0	0	0	0	0	0
1700060C16Rik	na	0	0	0	0	0	0
1700060C20Rik	na	0	0	0	0	0	0
1700061F12Rik	na	0	0	0	0	0	0
1700061G19Rik	na	11	21	22	21	28	23
1700061I17Rik	na	0	0	0	0	0	0
1700061J05Rik	na	0	0	0	0	0	0
1700063A18Rik	na	0	0	0	0	0	0
1700063D05Rik	na	0	1	0	0	0	0
1700063O14Rik	na	0	0	0	0	0	0
1700064J06Rik	na	0	0	0	0	0	0
1700064M15Rik	na	1	0	0	1	3	1
1700065D16Rik	na	28	23	25	15	22	16
1700065I16Rik	na	0	0	0	0	0	0
1700065I17Rik	na	0	1	0	0	0	0
1700065J11Rik	na	0	0	0	0	0	0
1700065J18Rik	na	0	0	0	0	0	0
1700065O20Rik	na	0	0	1	0	0	1
1700066B17Rik	na	0	0	0	0	0	0
1700066B19Rik	na	23	27	28	27	27	20
1700066J24Rik	na	50	46	39	29	55	39
1700066M21Rik	na	224	265	222	267	257	228
1700066N21Rik	na	0	0	0	0	0	0
1700066O22Rik	na	0	0	0	0	0	0
1700067G17Rik	na	0	0	1	0	0	0
1700067K01Rik	na	19	13	25	26	25	23
1700067P10Rik	na	0	0	0	0	0	0
1700069L16Rik	na	0	0	0	0	0	0
1700069P05Rik	na	0	0	0	0	0	0
1700071K01Rik	na	0	0	0	0	0	0
1700071M16Rik	na	13	14	6	5	11	7
1700072B07Rik	na	0	0	0	0	0	0
1700072E05Rik	na	0	0	0	0	0	0
1700072O05Rik	na	0	1	0	0	0	0
1700073E17Rik	na	0	0	0	0	0	0
1700074H08Rik	na	0	0	0	0	0	0
1700074P13Rik	na	0	0	0	0	0	0
1700080E11Rik	na	0	0	0	0	0	0
1700080N15Rik	na	0	0	0	0	0	0
1700080O16Rik	na	0	0	0	0	0	0
1700081H04Rik	na	0	0	0	0	0	0
1700081H22Rik	na	0	0	0	0	0	0
1700081L11Rik	na	4507	4695	4162	4795	5034	4158
1700084C01Rik	na	3	0	1	4	1	1
1700084E18Rik	na	6	13	11	9	15	13
1700084F23Rik	na	0	0	0	0	0	0
1700084J12Rik	na	0	0	0	0	0	0
1700085B03Rik	na	0	0	0	0	0	0
1700085C21Rik	na	0	0	0	0	0	0
1700086L19Rik	na	0	0	0	0	0	0
1700086O06Rik	na	53	55	46	47	48	44
1700088E04Rik	na	1	1	0	0	0	0
1700090G07Rik	na	0	0	0	0	0	0
1700091E21Rik	na	0	0	0	0	0	0
1700092C02Rik	na	0	0	0	0	0	0
1700092C10Rik	na	0	0	0	0	0	0
1700092E19Rik	na	0	0	0	0	0	0
1700092K14Rik	na	0	0	0	0	0	0
1700092M07Rik	na	15	23	39	32	33	35
1700093K21Rik	na	0	0	1	2	0	1
1700094D03Rik	na	538	562	492	614	558	553
1700094J05Rik	na	1	0	0	0	0	0
1700094M24Rik	na	0	0	0	0	0	0
1700095A21Rik	na	0	0	0	0	0	0
1700095B10Rik	na	0	0	0	0	0	0
1700095B22Rik	na	0	0	0	0	0	0
1700096J18Rik	na	10	2	5	10	7	7
1700096K18Rik	na	47	48	40	53	36	44
1700097N02Rik	na	3	0	0	2	3	1
1700100L14Rik	na	0	0	1	0	0	0
1700101E01Rik	na	1	2	4	3	1	2
1700101I11Rik	na	1	0	1	1	1	0
1700101O22Rik	na	0	0	0	0	0	0
1700102H20Rik	na	2	9	5	3	6	8
1700102P08Rik	na	39	26	32	41	33	37
1700104A03Rik	na	0	0	0	0	0	0
1700105P06Rik	na	2	0	0	0	0	1
1700106J16Rik	na	0	0	0	0	0	0
1700106N22Rik	na	51	53	50	46	66	35
1700108F19Rik	na	0	0	0	0	0	0
1700108J01Rik	na	0	0	0	0	0	0
1700108M19Rik	na	2	2	1	0	0	0
1700109F18Rik	na	0	0	0	0	0	0
1700109G14Rik	na	0	0	0	0	0	0
1700109G15Rik	na	0	0	0	0	0	0
1700109H08Rik	na	70	92	88	71	98	71
1700109I08Rik	na	0	0	0	0	0	0
1700110C19Rik	na	18	9	24	20	10	13
1700110I01Rik	na	0	0	0	0	0	0
1700110K17Rik	na	0	0	1	0	0	0
1700110M21Rik	na	0	0	0	0	0	0
1700111N16Rik	na	0	0	0	0	0	0
1700112E06Rik	na	0	0	0	0	0	0
1700112H15Rik	na	0	0	1	0	0	0
1700113A16Rik	na	296	354	333	364	412	355
1700113H08Rik	na	0	0	1	0	1	0
1700113I22Rik	na	31	26	24	41	26	25
1700119H24Rik	na	0	0	0	0	0	0
1700120C14Rik	na	6	6	6	6	6	3
1700120E14Rik	na	0	0	0	0	0	0
1700120G07Rik	na	0	0	0	0	0	0
1700120K04Rik	na	13	15	11	17	22	16
1700121L16Rik	na	0	0	0	0	0	0
1700121N20Rik	na	0	0	0	0	0	0
1700122O11Rik	na	0	0	0	0	0	0
1700123I01Rik	na	0	0	0	0	0	0
1700123K08Rik	na	0	0	0	0	0	0
1700123L14Rik	na	0	0	0	0	0	0
1700123M08Rik	na	42	34	69	47	51	42
1700123O12Rik	na	0	0	0	0	0	0
1700123O20Rik	na	717	661	699	699	705	679
1700123O21Rik	na	0	0	0	0	0	0
1700125D06Rik	na	2	2	0	1	2	1
1700125G02Rik	na	0	0	0	0	0	0
1700125G22Rik	na	0	0	0	0	0	0
1700125H03Rik	na	0	1	0	0	0	0
1700125H20Rik	na	0	1	1	0	1	0
1700126H18Rik	na	0	0	0	0	0	0
1700128A07Rik	na	0	0	0	0	0	0
1700128F08Rik	na	0	0	0	0	0	0
1700129C05Rik	na	0	0	0	0	0	0
1810006J02Rik	na	0	0	0	0	1	0
1810006K21Rik	na	1295	1276	1281	1277	1333	1176
1810007C17Rik	na	0	0	0	0	0	0
1810007D17Rik	na	0	0	0	0	0	0
1810007I06Rik	na	0	0	0	0	0	0
1810008A18Rik	na	1221	1198	1195	1256	1371	1230
1810008I18Rik	na	0	0	0	0	0	0
1810009A15Rik	na	1469	1518	1495	1591	1525	1454
1810009J06Rik	na	0	0	0	0	0	0
1810010D01Rik	na	1	3	6	2	3	9
1810010H24Rik	na	19	15	20	8	19	10
1810011H11Rik	na	2	1	0	2	0	1
1810011O10Rik	na	0	0	0	0	2	0
1810012K16Rik	na	13	11	6	14	8	3
1810012P15Rik	na	418	468	399	437	509	431
1810013A23Rik	na	0	1	1	0	0	0
1810013D10Rik	na	494	477	482	472	497	478
1810013L24Rik	na	1317	1314	1233	1424	1514	1190
1810014B01Rik	na	152	167	151	162	154	140
1810014F10Rik	na	15	8	8	10	11	8
1810018F18Rik	na	0	0	0	0	0	0
1810019D21Rik	na	0	3	0	1	0	1
1810019J16Rik	na	1	4	8	2	3	2
1810020D17Rik	na	138	141	143	144	157	130
1810020O05Rik	na	2	0	1	0	0	1
1810021B22Rik	na	10	13	10	12	7	2
1810022K09Rik	na	328	308	315	267	283	374
1810024B03Rik	na	12	13	11	12	11	8
1810026B05Rik	na	697	699	745	774	802	697
1810026J23Rik	na	1059	1024	970	1178	1132	1023
1810027O10Rik	na	607	568	600	569	515	555
1810029B16Rik	na	851	874	841	968	986	872
1810030J14Rik	na	0	0	0	0	0	0
1810030N24Rik	na	332	341	348	319	326	317
1810030O07Rik	na	1588	1686	1679	1821	1840	1648
1810031K17Rik	na	2194	2330	2056	2498	2622	2324
1810032O08Rik	na	774	822	839	1041	1062	859
1810033B17Rik	na	55	49	52	74	78	59
1810034E14Rik	na	18	23	17	22	15	13
1810035I16Rik	na	0	0	0	0	0	0
1810035L17Rik	na	299	298	331	310	295	338
1810037I17Rik	na	425	400	398	411	379	396
1810041L15Rik	na	1	0	0	0	0	0
1810043G02Rik	na	73	77	55	78	70	46
1810043H04Rik	na	533	528	478	514	570	500
1810044D09Rik	na	21	28	14	21	32	18
1810046J19Rik	na	1118	1164	1120	1218	1159	1070
